neuron,in_degree,out_degree,betweenness,clustering
ALML,1,3,0.0,1.0
ALMR,0,3,0.0,0.6666666666666666
AVM,1,6,0.013636363636363636,0.6
AVDL,4,0,0.0,0.6666666666666666
AVDR,5,0,0.0,0.6
PVCL,3,7,0.06363636363636363,0.37777777777777777
PVCR,4,6,0.05909090909090909,0.37777777777777777
AVAL,3,0,0.0,1.0
AVAR,3,0,0.0,1.0
AVBL,3,0,0.0,1.0
AVBR,4,0,0.0,0.8333333333333334
DVA,0,6,0.0,0.6
