Gen  41 | loss=0.4500 | f1=0.0857 prec=0.0474 rec=0.4500 jacc=0.0448 | nodes=22/40 edges=190/64
Gen  42 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  43 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  44 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  45 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  46 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  47 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  48 | loss=0.4000 | f1=0.0820 prec=0.0459 rec=0.3846 jacc=0.0427 | nodes=24/40 edges=218/64
Gen  49 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  50 | loss=0.0500 | f1=0.0968 prec=0.0553 rec=0.3871 jacc=0.0508 | nodes=38/40 edges=434/64
Gen  51 | loss=0.1500 | f1=0.1160 prec=0.0668 rec=0.4386 jacc=0.0616 | nodes=34/40 edges=374/64
Gen  52 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  53 | loss=0.4000 | f1=0.0769 prec=0.0423 rec=0.4219 jacc=0.0400 | nodes=56/40 edges=926/64
Gen  54 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  55 | loss=0.2000 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/40 edges=422/64
Gen  56 | loss=0.5000 | f1=0.0712 prec=0.0389 rec=0.4219 jacc=0.0369 | nodes=60/40 edges=1106/64
Gen  57 | loss=0.5500 | f1=0.0752 prec=0.0409 rec=0.4688 jacc=0.0391 | nodes=62/40 edges=1202/64
Gen  58 | loss=0.5500 | f1=0.0752 prec=0.0409 rec=0.4688 jacc=0.0391 | nodes=62/40 edges=1202/64
Gen  59 | loss=0.4000 | f1=0.0769 prec=0.0423 rec=0.4219 jacc=0.0400 | nodes=56/40 edges=926/64
Gen  60 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  61 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  62 | loss=0.4500 | f1=0.0857 prec=0.0474 rec=0.4500 jacc=0.0448 | nodes=22/40 edges=190/64
Gen  63 | loss=0.3000 | f1=0.0859 prec=0.0471 rec=0.4844 jacc=0.0449 | nodes=52/40 edges=850/64
Gen  64 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  65 | loss=0.5500 | f1=0.0752 prec=0.0409 rec=0.4688 jacc=0.0391 | nodes=62/40 edges=1202/64
Gen  66 | loss=0.2000 | f1=0.1036 prec=0.0606 rec=0.3571 jacc=0.0546 | nodes=32/40 edges=330/64
Gen  67 | loss=0.1000 | f1=0.0903 prec=0.0517 rec=0.3559 jacc=0.0473 | nodes=36/40 edges=406/64
Gen  68 | loss=0.5500 | f1=0.0752 prec=0.0409 rec=0.4688 jacc=0.0391 | nodes=62/40 edges=1202/64
Gen  69 | loss=0.1000 | f1=0.1007 prec=0.0578 rec=0.3898 jacc=0.0530 | nodes=36/40 edges=398/64
Gen  70 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  71 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  72 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  73 | loss=0.5500 | f1=0.0752 prec=0.0409 rec=0.4688 jacc=0.0391 | nodes=62/40 edges=1202/64
Gen  74 | loss=0.4000 | f1=0.0769 prec=0.0423 rec=0.4219 jacc=0.0400 | nodes=56/40 edges=926/64
Gen  75 | loss=0.2000 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/40 edges=422/64
Gen  76 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  77 | loss=0.2000 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/40 edges=422/64
Gen  78 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  79 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  80 | loss=0.5500 | f1=0.0752 prec=0.0409 rec=0.4688 jacc=0.0391 | nodes=62/40 edges=1202/64
Gen  81 | loss=0.4000 | f1=0.0769 prec=0.0423 rec=0.4219 jacc=0.0400 | nodes=56/40 edges=926/64
Gen  82 | loss=0.4000 | f1=0.0769 prec=0.0423 rec=0.4219 jacc=0.0400 | nodes=56/40 edges=926/64
Gen  83 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  84 | loss=0.5500 | f1=0.0752 prec=0.0409 rec=0.4688 jacc=0.0391 | nodes=62/40 edges=1202/64
Gen  85 | loss=0.4000 | f1=0.0769 prec=0.0423 rec=0.4219 jacc=0.0400 | nodes=56/40 edges=926/64
Gen  86 | loss=0.4000 | f1=0.0769 prec=0.0423 rec=0.4219 jacc=0.0400 | nodes=56/40 edges=926/64
Gen  87 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
