Gen  46 | loss=0.7500 | f1=0.0938 prec=0.0517 rec=0.5000 jacc=0.0492 | nodes=20/80 edges=174/255
Gen  47 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  48 | loss=0.9000 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/80 edges=38/255
Gen  49 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  50 | loss=0.7750 | f1=0.1098 prec=0.0600 rec=0.6429 jacc=0.0581 | nodes=18/80 edges=150/255
Gen  51 | loss=0.2000 | f1=0.0622 prec=0.0346 rec=0.3087 jacc=0.0321 | nodes=64/80 edges=1330/255
Gen  52 | loss=0.7750 | f1=0.1098 prec=0.0600 rec=0.6429 jacc=0.0581 | nodes=18/80 edges=150/255
Gen  53 | loss=0.2000 | f1=0.0609 prec=0.0341 rec=0.2819 jacc=0.0314 | nodes=64/80 edges=1230/255
Gen  54 | loss=0.6000 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/80 edges=422/255
Gen  55 | loss=0.6000 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/80 edges=422/255
Gen  56 | loss=0.7750 | f1=0.1098 prec=0.0600 rec=0.6429 jacc=0.0581 | nodes=18/80 edges=150/255
Gen  57 | loss=0.6000 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/80 edges=422/255
Gen  58 | loss=0.6000 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/80 edges=422/255
Gen  59 | loss=0.2000 | f1=0.0622 prec=0.0346 rec=0.3087 jacc=0.0321 | nodes=64/80 edges=1330/255
Gen  60 | loss=0.6000 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/80 edges=422/255
Gen  61 | loss=0.2000 | f1=0.0622 prec=0.0346 rec=0.3087 jacc=0.0321 | nodes=64/80 edges=1330/255
Gen  62 | loss=0.2250 | f1=0.0611 prec=0.0341 rec=0.2908 jacc=0.0315 | nodes=62/80 edges=1202/255
Gen  63 | loss=0.6000 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/80 edges=422/255
Gen  64 | loss=0.1750 | f1=0.0609 prec=0.0339 rec=0.3026 jacc=0.0314 | nodes=66/80 edges=1358/255
Gen  65 | loss=0.0250 | f1=0.0599 prec=0.0346 rec=0.2236 jacc=0.0309 | nodes=78/80 edges=1590/255
Gen  66 | loss=0.1500 | f1=0.0594 prec=0.0331 rec=0.2911 jacc=0.0306 | nodes=68/80 edges=1390/255
Gen  67 | loss=0.0500 | f1=0.0589 prec=0.0340 rec=0.2199 jacc=0.0304 | nodes=76/80 edges=1558/255
Gen  68 | loss=0.1000 | f1=0.0658 prec=0.0381 rec=0.2383 jacc=0.0340 | nodes=72/80 edges=1206/255
Gen  69 | loss=0.2250 | f1=0.0611 prec=0.0341 rec=0.2908 jacc=0.0315 | nodes=62/80 edges=1202/255
Gen  70 | loss=0.0500 | f1=0.0597 prec=0.0345 rec=0.2196 jacc=0.0308 | nodes=84/80 edges=1690/255
Gen  71 | loss=0.1500 | f1=0.0575 prec=0.0323 rec=0.2658 jacc=0.0296 | nodes=68/80 edges=1302/255
Gen  72 | loss=0.2000 | f1=0.0622 prec=0.0346 rec=0.3087 jacc=0.0321 | nodes=64/80 edges=1330/255
Gen  73 | loss=0.0750 | f1=0.0606 prec=0.0356 rec=0.2039 jacc=0.0312 | nodes=86/80 edges=1578/255
Gen  74 | loss=0.1750 | f1=0.0609 prec=0.0339 rec=0.3026 jacc=0.0314 | nodes=66/80 edges=1358/255
Gen  75 | loss=0.0750 | f1=0.0583 prec=0.0347 rec=0.1830 jacc=0.0300 | nodes=74/80 edges=1182/255
Gen  76 | loss=0.0750 | f1=0.0659 prec=0.0378 rec=0.2549 jacc=0.0341 | nodes=86/80 edges=1814/255
Gen  77 | loss=0.0750 | f1=0.0568 prec=0.0331 rec=0.2000 jacc=0.0292 | nodes=86/80 edges=1650/255
Gen  78 | loss=0.1000 | f1=0.0559 prec=0.0327 rec=0.1917 jacc=0.0288 | nodes=72/80 edges=1130/255
Gen  79 | loss=0.0000 | f1=0.0580 prec=0.0338 rec=0.2039 jacc=0.0299 | nodes=80/80 edges=1538/255
Gen  80 | loss=0.1250 | f1=0.0622 prec=0.0366 rec=0.2063 jacc=0.0321 | nodes=70/80 edges=1066/255
Gen  81 | loss=0.0500 | f1=0.0589 prec=0.0340 rec=0.2199 jacc=0.0304 | nodes=76/80 edges=1558/255
Gen  82 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen  83 | loss=0.0500 | f1=0.0633 prec=0.0366 rec=0.2314 jacc=0.0327 | nodes=84/80 edges=1670/255
Gen  84 | loss=0.0250 | f1=0.0645 prec=0.0372 rec=0.2439 jacc=0.0333 | nodes=78/80 edges=1614/255
Gen  85 | loss=0.0750 | f1=0.0606 prec=0.0356 rec=0.2039 jacc=0.0312 | nodes=86/80 edges=1578/255
Gen  86 | loss=0.0000 | f1=0.0580 prec=0.0338 rec=0.2039 jacc=0.0299 | nodes=80/80 edges=1538/255
Gen  87 | loss=0.0000 | f1=0.0619 prec=0.0364 rec=0.2078 jacc=0.0319 | nodes=80/80 edges=1458/255
Gen  88 | loss=0.0750 | f1=0.0604 prec=0.0347 rec=0.2314 jacc=0.0312 | nodes=86/80 edges=1790/255
Gen  89 | loss=0.0000 | f1=0.0652 prec=0.0377 rec=0.2431 jacc=0.0337 | nodes=80/80 edges=1646/255
Gen  90 | loss=0.0250 | f1=0.0566 prec=0.0332 rec=0.1911 jacc=0.0291 | nodes=78/80 edges=1414/255
Gen  91 | loss=0.0250 | f1=0.0609 prec=0.0356 rec=0.2118 jacc=0.0314 | nodes=82/80 edges=1554/255
Gen  92 | loss=0.0500 | f1=0.0589 prec=0.0340 rec=0.2199 jacc=0.0304 | nodes=76/80 edges=1558/255
Gen  93 | loss=0.0250 | f1=0.0617 prec=0.0363 rec=0.2078 jacc=0.0319 | nodes=82/80 edges=1498/255
Gen  94 | loss=0.0250 | f1=0.0645 prec=0.0372 rec=0.2439 jacc=0.0333 | nodes=78/80 edges=1614/255
Gen  95 | loss=0.0000 | f1=0.0616 prec=0.0362 rec=0.2078 jacc=0.0318 | nodes=80/80 edges=1466/255
Gen  96 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen  97 | loss=0.0000 | f1=0.0623 prec=0.0368 rec=0.2039 jacc=0.0322 | nodes=80/80 edges=1414/255
Gen  98 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen  99 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 100 | loss=0.0250 | f1=0.0615 prec=0.0359 rec=0.2154 jacc=0.0317 | nodes=78/80 edges=1478/255
Gen 101 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 102 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 103 | loss=0.0250 | f1=0.0645 prec=0.0372 rec=0.2439 jacc=0.0333 | nodes=78/80 edges=1614/255
Gen 104 | loss=0.0000 | f1=0.0619 prec=0.0364 rec=0.2078 jacc=0.0319 | nodes=80/80 edges=1458/255
Gen 105 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 106 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 107 | loss=0.0000 | f1=0.0652 prec=0.0377 rec=0.2431 jacc=0.0337 | nodes=80/80 edges=1646/255
