neuron,class,in_degree,out_degree
ALML,sensory,2,5
ALMR,sensory,2,3
AVAL,interneuron,12,9
AVAR,interneuron,12,9
AVBL,interneuron,8,6
AVBR,interneuron,6,5
AVDL,interneuron,11,6
AVDR,interneuron,13,7
AVM,sensory,3,8
DVA,modulatory,7,7
PLML,sensory,5,6
PLMR,sensory,2,6
PVCL,interneuron,11,10
PVCR,interneuron,12,11
PVDL,sensory,3,7
PVDR,sensory,3,7
